id;strasse;hnummer;ort;land
1;Selnaustrasse;16;8001 Zuerich;Schweiz
2;Seefeldstrasse;12;8008 Zuerich;Schweiz
3;Zahnradstrasse;21;8005 Zuerich;Schweiz
4;Hallwylstrasse;43;8004 Zuerich;Schweiz
5;Brauerstrasse ;4;8004 Zuerich;Schweiz
6;Langstrasse;197;8005 Zuerich;Schweiz
7;Rotachstrasse;12;8003 Zuerich;Schweiz
8;Weststrasse;192;8003 Zuerich;Schweiz
9;Badenerstrasse;125;8004 Zerich;Schweiz
10;Badenerstrasse;177;8003 Zuerich;Schweiz
11;Birmensdorferstrasse;364;8055 Zuerich;Schweiz
12;Meierwiesenstrasse;58;8064 Zuerich;Schweiz
13;Brauerstrasse;15;8004 Zuerich;Schweiz
14;Langstrasse;133;8004 Zuerich;Schweiz
15;Europaallee;15;8004 Zuerich;Schweiz
16;Pfingstweidstrasse;6;8004 Zuerich;Schweiz
17;Zuerichbergstrasse;71;8044 Zuerich;Schweiz
18;Schaffhauserstrasse;352;8050 Zuerich;Schweiz
19;Stampfenbachstrasse;32;8006 Zuerich;Schweiz
20;Muesterhof;8;8001 Zuerich;Schweiz
21;Ruistrasse;4;8001 Zuerich;Schweiz
22;Talstrasse;1;8001 Zuerich;Schweiz
23;Bahnhofplatz;7;8001 Zuerich;Schweiz
24;Niederdorfstrasse;10;8001 Zuerich;Schweiz
25;Sihlstrasse;28;8001 Zuerich;Schweiz
26;Quellenstrasse;49;8005 Zuerich;Schweiz
27;Bahnhofstrasse;88;8001 Zuerich;Schweiz
28;Klingenstrasse;33;8005 Zuerich;Schweiz
29;Hofwiesenstrasse;8;8057 Zuerich;Schweiz
30;Wallisellenstrasse;11;8050 Zuerich;Schweiz
31;Diendorfstrasse;223;8052 Zuerich;Schweiz
32;Augustinergasse;25;8001 Zuerich;Schweiz
33;In Gassen;6;8001 Zuerich;Schweiz
34;Niederdorfstrasse;80;8001 Zuerich;Schweiz
35;Limmatquai;82;8001 Zuerich;Schweiz
36;Sihlporte;3;8001 Zuerich;Schweiz
37;Pfalzgasse;1;8001 Zuerich;Schweiz
38;Schaffhauserstrasse;1;8006 Zuerich;Schweiz
39;Bahnhofstrasse;28;8001 Zuerich;Schweiz
40;Muesterhof;8;8001 Zuerich;Schweiz
41;Rosengasse;10;8001 Zuerich;Schweiz
42;Zoelingerstrasse;16;8001 Zuerich;Schweiz
43;Muestergasse;15;8001 Zuerich;Schweiz
44;Froschaufasse;12;8001 Zuerich;Schweiz
45;Langstrasse;209;8005 Zuerich;Schweiz
46;Rosengasse ;7;8001 Zuerich;Schweiz
47;Glockengasse;8;8001 Zuerich;Schweiz
48;Moerstrasse;23;8004 Zuerich;Schweiz
49;Altstetterstrasse;140;8048 Zuerich;Schweiz
50;Schiffle;18;8001 Zuerich;Schweiz
51;Limmatstrasse ;317;8005 Zuerich;Schweiz
52;Konradstrasse;69;8005 Zuerich;Schweiz
53;Militaerstrasse;14;8004 Zuerich;Schweiz
54;Heinrichstrasse;213;8005 Zuerich;Schweiz
55;Badenerstrasse ;171;8003 Zuerich;Schweiz
56;Bernerstrasse;224;8064 Zuerich;Schweiz
57;Franklinstrasse;20;8050 Zuerich;Schweiz
58;Wehntalerstrasse;289;8046 Zuerich;Schweiz
59;Badenerstrasse;248;8004 Zeerich;Schweiz
60;Badenerstrasse;676;8048 Zuerich;Schweiz
